",,,,,,,,,,,,,",,,,Imagos,,,"Oeufs, larves et pupes",,,,
Numéro,Type,Enfermé ?,Nombre,Cellule radiale (mm),Masse fraiche individuelle (mg),ITD (mm),Masse totale (mg),Masse moyenne (mg),,,
1,Ouvrière ☿,Non,1,3,226,"4,3",,0,,Types,Enfermé
2,Ouvrière ☿,Non,1,3,255,"3,92",,,,Oeuf,Oui
3,Ouvrière ☿,Non,1,3,281,"4,22",,,,Premiers instars,Non
4,Reine ♀,Non,1,5,990,"6,51",,,,Dernier instar pré-défécation,
5,Ouvrière ☿,Non,1,3,304,"4,44",,,,Dernier instar post-défécation,
6,Ouvrière ☿,Non,1,3,255,"4,23",,,,Pupe,
7,Ouvrière ☿,Non,1,3,194,"3,97",,,,Ouvrière ☿,
8,Ouvrière ☿,Non,1,3,296,"4,5",,,,Reine ♀,
9,Ouvrière ☿,Non,1,3,190,"4,88",,,,Mâle ♂,
10,Ouvrière ☿,Non,1,3,340,"5,08",,,,,
11,Ouvrière ☿,Non,1,3,210,"4,18",,,,,
12,Ouvrière ☿,Non,1,3,217,"4,11",,,,,
13,Ouvrière ☿,Non,1,3,277,"4,24",,,,,
14,Ouvrière ☿,Non,1,3,274,"3,97",,,,,
15,Ouvrière ☿,Non,1,3,270,"4,42",,,,,
16,Ouvrière ☿,Non,1,2,181,"3,81",,,,,
17,Ouvrière ☿,Non,1,2,125,"3,29",,,,,
18,Ouvrière ☿,Non,1,3,281,"4,06",,,,,
19,Ouvrière ☿,Non,1,3,274,"4,32",,,,,
20,Ouvrière ☿,Non,1,3,263,"3,79",,,,,
21,Ouvrière ☿,Non,1,3,233,"4,03",,,,,
22,Ouvrière ☿,Non,1,3,265,"4,23",,,,,
23,Ouvrière ☿,Non,1,3,262,"3,63",,,,,
24,Ouvrière ☿,Non,1,3,249,"3,97",,,,,
25,Ouvrière ☿,Non,1,2,241,"3,95",,,,,
26,Ouvrière ☿,Non,1,3,286,"4,18",,,,,
27,Ouvrière ☿,Non,1,3,323,"4,36",,,,,
28,Ouvrière ☿,Non,1,3,273,"4,06",,,,,
29,Ouvrière ☿,Non,1,2,132,"2,98",,,,,
30,Ouvrière ☿,Non,1,2,143,"2,89",,,,,
31,Ouvrière ☿,Non,1,3,275,"3,94",,,,,
32,Ouvrière ☿,Non,1,3,252,"4,37",,,,,
33,Ouvrière ☿,Non,1,3,315,"4,57",,,,,
34,Ouvrière ☿,Non,1,3,251,"3,93",,,,,
35,Ouvrière ☿,Non,1,3,199,"3,77",,,,,
36,Ouvrière ☿,Non,1,3,326,"4,56",,,,,
37,Ouvrière ☿,Non,1,3,308,"4,79",,,,,
38,Ouvrière ☿,Non,1,3,185,"4,05",,,,,
39,Ouvrière ☿,Non,1,3,246,"4,14",,,,,
40,Ouvrière ☿,Non,1,3,314,"4,29",,,,,
41,Ouvrière ☿,Non,1,2,138,"3,26",,,,,
42,Ouvrière ☿,Non,1,2,188,"3,81",,,,,
43,Ouvrière ☿,Non,1,3,296,"4,56",,,,,
44,Ouvrière ☿,Non,1,3,251,"4,44",,,,,
45,Ouvrière ☿,Non,1,3,222,"4,08",,,,,
46,Ouvrière ☿,Non,1,3,241,"4,34",,,,,
47,Ouvrière ☿,Non,1,3,236,"4,58",,,,,
48,Ouvrière ☿,Non,1,3,295,"4,65",,,,,
49,Ouvrière ☿,Non,1,3,205,"4,02",,,,,
50,Ouvrière ☿,Non,1,3,204,"3,84",,,,,
